,user_id,a,v,t,z,a_sd,v_sd,t_sd,z_sd
1800,s4m8_usuario2,3.8766581853202604,0.7060204169284712,0.6626938009385337,0.6363834036451609,0.3438307898203902,0.10358574351189417,0.07717279853759598,0.04859506325009329
1801,s4m8_usuario7,2.52028913266429,1.0281243950998071,0.44467707818663504,0.7654671139002421,0.26250804457508026,0.1672591929847778,0.011325607974162462,0.03254490074966976
1802,s4m8_usuario14,8.463455408977723,0.8796354568035634,0.3280685116657912,0.34174923493609677,0.7098160928897612,0.07523930118543799,0.14057769217340382,0.048568171026702286
1803,s4m8_usuario13,2.601994569374017,1.4808843137724643,0.49588931171331796,0.8214538914850473,0.43763218103435203,0.22812927480281914,0.0077485326786184295,0.03333250857666518
1804,s4m8_usuario9,6.933820363267204,0.5398060253327157,0.23882604897688958,0.4630666717288824,0.5075936449473791,0.056771632203609874,0.0999841184470869,0.044510280435620504
1805,s4m8_usuario10,6.355730547269446,0.8374528399445608,0.5794302524967148,0.38224427624859164,0.5104700618779935,0.08087321142334442,0.18323325159016962,0.05057654493573665
1806,s4m8_usuario8,3.3194860577680108,0.28032545550023946,0.26716708763219377,0.5510834471309326,0.15559475726651986,0.07810749404546356,0.05653237264841694,0.0351742980533614
1807,s4m8_usuario1,2.679067983349988,0.14547882459080136,0.3653648550337769,0.5763732800175396,0.126256031682396,0.0931218866424767,0.04876327173440142,0.034730057368738985
1808,s4m8_usuario11,5.153908065890673,0.05736076915383804,0.3958025962195217,0.6798666261349936,0.26580636837364047,0.052709543982733954,0.09474499976210034,0.03278523867181941
1809,s4m8_usuario4,2.6470531072958683,0.27019267170076844,0.24843583065357455,0.5442582679240615,0.12832121833549967,0.10409370915584865,0.035359290921863774,0.039152930852586684
1810,s4m8_usuario5,2.858225289015738,-0.4234755526755323,0.4242749149977136,0.22828037476884044,0.18480511435318725,0.10798501638917604,0.01603833725665142,0.024544853998884546
1811,s4m8_usuario3,2.9246903420239816,-0.8792148582392607,0.37866308005316435,0.2687859630826511,0.32237527802580224,0.1448941944534254,0.024386606335214528,0.04235144087367589
1812,s4m8_usuario12,8.754236041541063,1.6669243319440565,1.0188999438588011,0.21353440688241426,0.897481710847711,0.14181246347728468,0.2538544183096839,0.043529059944180964
1813,s4m8_usuario6,3.768854087112748,0.9948158498222337,0.40072260185372055,0.7620799922406554,0.5500193363636345,0.1360824830280676,0.025476989614820984,0.04029972165454364
8400,s8n3_usuario4,2.560331791381228,-0.1492603198444445,0.349023681418433,0.39833660910994867,0.11558759593993835,0.09820560592984039,0.035867726147834046,0.03268637185935251
8401,s8n3_usuario9,3.079666063250498,-0.19305643786947996,0.417564227295652,0.41589849025902326,0.1451955149077009,0.08275776762752608,0.05804762658577501,0.034729988267126206
8402,s8n3_usuario2,3.705767906207854,0.08949416237935671,0.5724880991093724,0.46422422333113256,0.17329482673115046,0.06195578455371196,0.11150672445668255,0.03146822045270595
8403,s8n3_usuario14,2.72890735518719,0.8941312483407539,0.41520940809047774,0.4951254641436879,0.1636617279514964,0.12262184485491298,0.0391848616392496,0.04360079300024864
8404,s8n3_usuario7,1.7591861656273562,0.49226667892402565,0.5938136069868963,0.6234264118707806,0.08792923558234671,0.15486529129274856,0.017711254361294906,0.03538391953642111
8405,s8n3_usuario13,2.3898699210385823,0.12991385289095256,0.44476640116088906,0.7232410914986641,0.12615515262154756,0.11676681190977471,0.017786074107864716,0.02958282804595493
8406,s8n3_usuario5,5.653817365045889,-0.17333270425981268,0.3836515581617391,0.1717501359509399,0.3498108955358889,0.05294806873193676,0.042016704603274745,0.019749907502796787
8407,s8n3_usuario8,3.357195628259825,-0.6375715769179933,0.396045600446117,0.16416568518478647,0.39757035236455734,0.12371665703415309,0.013305350815420992,0.02515423243675213
8408,s8n3_usuario10,1.6194250099838778,0.22988465738818978,0.4132778310142669,0.7594068080513203,0.0931885886223228,0.18210730100543143,0.008328036536291855,0.02843409027815279
8409,s8n3_usuario17,3.0866755638683596,0.3334194859830667,0.30868795393157944,0.6551704684626839,0.1711082794229744,0.09536161963146844,0.040894868645437725,0.036766940123059665
8410,s8n3_usuario18,3.3533670089234002,1.0098416356632904,0.22333110382531982,0.7061865183898178,0.43696104194707003,0.13773620015524507,0.03194282046617633,0.0464930841092011
8411,s8n3_usuario12,2.4435373422679203,1.4098315093716993,0.3508539858466382,0.7702611172423939,0.3630193276356192,0.20262160008763966,0.011137207549744182,0.03813990534110612
8412,s8n3_usuario11,1.575022728525746,-0.3098913402714439,0.33336918599289966,0.4100222146054741,0.07709560843327709,0.15321507040877372,0.018411616992230706,0.03068292991711883
8413,s8n3_usuario3,1.8751885696981225,1.000126316989126,0.08897219968182042,0.4298296407005052,0.09000747721792074,0.14970458991552854,0.014873513172432722,0.03329283482235005
8414,s8n3_usuario16,2.3891347890353845,0.3007287931135672,0.36931899416054714,0.7291752696692502,0.12562966439642248,0.11972973777630194,0.01597025148171399,0.027891506980510884
8415,s8n3_usuario6,2.8124722137287574,0.45858894537062406,0.37543722342989283,0.5720222069575298,0.14951945432185665,0.10143079154599101,0.04867618647888363,0.039426687281458435
8416,s8n3_usuario1,4.456001921911881,-0.1819557310413981,0.30800657295158546,0.21226299099833465,0.2394219724740893,0.06270968557196173,0.041808176047560944,0.022617875847343104
8417,s8n3_usuario15,2.4967672288926055,-0.6720518714749932,0.4082731692825489,0.3795400439508847,0.14936486975339028,0.12727879774904235,0.028169365067614367,0.03881003865706021
10200,s9n3_usuario14,3.361760141420844,0.06378666185773575,0.7858860825046922,0.6313924058179498,0.16221598802358553,0.07606894318238049,0.07791550519816161,0.03394687590415865
10201,s9n3_usuario8,2.556998907048026,0.21216232599412505,0.4469972196121635,0.624478357825717,0.13121205032511274,0.10534679553307227,0.040311850177667,0.03702431130847667
10202,s9n3_usuario6,3.7460047546577284,-0.2953779944616776,0.6190349096304174,0.17220136236982905,0.28750188538314203,0.09515509132005248,0.01645761775911998,0.021299061058073353
10203,s9n3_usuario12,4.297105369015759,-0.3448906997147612,0.30030043503542014,0.48277644528174735,0.2080283947801833,0.06492775572761426,0.08539707248071388,0.03634241085657432
10204,s9n3_usuario7,3.274619335488704,1.35563594421227,0.38743230429004566,0.6310565024061161,0.47438296764258975,0.1582321940440219,0.042246385408402996,0.05833816501995904
10205,s9n3_usuario4,4.98678454922595,0.9604138386472546,0.36326840449786685,0.500761246829615,0.5620946913859522,0.1039688322379911,0.12826372504326286,0.060489655646995565
