,user_id,round,Action,Payoff,time,PlayedBy,context,NeigboursPayoffs1,2,3,4,5,6,7,8,Neigbours1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,other,self,response
0,87,1,D,20,5.17000007629,user,2,20,0,20,20,10,20,7,20,25,55,161,82,130,165,93,91,0,10,0
2,87,3,D,10,8.59999990463,user,1,40,20,20,20,14,20,0,10,167,45,15,158,44,118,31,157,0,10,0
3,87,4,D,30,5.44000005722,user,3,40,7,20,20,20,30,14,21,72,168,27,16,21,56,96,142,0,30,0
4,87,5,C,14,1.4700000286100001,user,2,7,30,30,20,20,30,14,30,8,98,72,24,152,61,160,54,74,14,1
5,87,6,D,30,2.76999998093,user,3,30,30,10,7,30,21,30,14,122,155,3,110,42,44,105,65,0,30,0
6,87,7,D,20,9.589999914169999,user,2,10,0,10,20,14,14,20,20,76,62,8,167,83,168,104,21,0,20,0
7,87,8,D,30,3.78999996185,user,3,10,20,30,14,7,30,7,10,149,31,106,81,150,61,29,129,0,30,0
8,87,9,D,0,10.4100000858,user,0,20,0,0,0,10,0,10,20,56,127,133,73,52,132,169,57,0,0,0
9,87,10,D,0,3.50999999046,user,0,10,0,10,20,20,0,10,10,149,114,3,56,25,162,156,94,0,0,0
10,87,11,D,0,7.040000200270001,user,0,10,10,20,20,40,20,10,0,161,162,96,94,132,91,62,140,0,0,0
11,87,12,D,10,4.5399999618499995,user,1,10,0,0,0,30,40,14,10,89,27,38,133,48,112,40,86,0,10,0
12,87,13,D,20,3.9000000953700003,user,2,7,10,10,10,0,10,0,20,103,61,45,162,147,144,96,3,0,20,0
13,87,14,D,10,3.8700001239799997,user,1,10,0,0,10,20,30,14,20,6,61,14,143,74,149,40,65,0,10,0
14,87,15,D,20,4.6300001144400005,user,2,20,10,10,0,20,30,21,14,48,72,11,32,90,9,73,13,0,20,0
15,87,16,D,10,5.6899998188,user,1,10,10,0,0,10,20,7,10,12,56,39,17,128,2,147,29,0,10,0
16,87,17,D,20,10.3599998951,user,2,7,20,7,20,20,20,30,10,104,160,16,164,133,149,121,84,0,20,0
17,87,18,D,50,4.80999994278,user,5,14,21,30,30,20,21,21,28,118,132,153,154,129,4,51,40,0,50,0
18,87,19,D,20,6.95000004768,user,2,30,7,20,10,0,20,30,14,9,34,74,78,164,98,18,142,0,20,0
19,87,20,C,7,1.19999980927,user,1,20,20,30,30,20,20,7,20,9,3,145,58,104,85,51,80,77,7,1
20,87,21,D,30,3.52999997139,user,3,20,20,14,40,30,14,40,14,165,118,168,21,72,16,67,169,0,30,0
21,87,22,D,0,5.31999993324,user,0,0,10,20,0,0,10,10,0,125,25,137,127,79,135,34,104,0,0,0
22,87,23,D,20,3.97000002861,user,2,10,10,0,10,10,14,30,7,138,18,147,60,64,47,5,169,0,20,0
23,87,24,D,20,12.0,user,2,30,7,10,10,10,20,10,7,46,89,145,10,41,44,153,104,0,20,0
24,87,25,D,20,2.29999995232,user,2,0,10,20,14,20,7,10,10,134,50,129,121,16,26,166,115,0,20,0
25,87,26,D,10,20.3099999428,user,1,10,0,0,0,0,10,0,20,69,64,43,68,76,37,36,45,0,10,0
26,87,27,D,20,5.01999998093,user,2,50,7,10,20,10,20,30,21,15,150,19,134,148,34,120,101,0,20,0
27,87,28,C,7,3.98999977112,user,1,30,20,20,30,7,20,40,30,96,105,169,154,51,161,48,85,77,7,1
28,87,29,D,10,2.82999992371,user,1,20,10,20,0,0,10,7,20,97,25,19,82,74,15,139,137,0,10,0
29,87,30,D,10,3.5599999427799998,user,1,20,0,0,10,0,10,10,10,26,162,66,83,7,96,39,121,0,10,0
30,87,31,D,10,3.03999996185,user,1,20,20,20,7,20,10,0,10,167,117,8,24,152,124,103,162,0,10,0
31,87,32,D,10,4.27999997139,user,1,0,0,10,30,7,10,0,0,98,33,165,4,141,161,67,9,0,10,0
32,87,33,D,20,7.0600001811999995,user,2,30,40,14,7,20,20,20,10,11,81,96,98,76,126,131,80,0,20,0
33,87,34,D,10,6.81999993324,user,1,40,14,20,10,10,0,10,30,39,92,111,109,57,94,67,83,0,10,0
34,87,35,D,20,3.72000002861,user,2,20,10,10,10,10,7,7,20,30,138,103,131,47,53,6,143,0,20,0
35,87,36,D,10,9.00999999046,user,1,10,10,20,7,40,30,20,10,149,131,5,96,135,49,59,90,0,10,0
36,87,37,D,10,4.54999995232,user,1,20,20,20,20,20,0,10,10,18,132,33,35,167,96,19,83,0,10,0
37,87,38,D,0,6.32999992371,user,0,10,10,0,0,0,0,10,10,92,61,127,131,128,145,31,81,0,0,0
38,87,39,D,20,4.00999999046,user,2,7,30,20,7,30,20,10,10,10,105,63,123,43,52,11,62,0,20,0
39,87,40,D,20,10.4100000858,user,2,20,20,10,7,20,7,20,20,111,52,131,64,163,116,60,167,0,20,0
40,87,41,D,10,3.53999996185,user,1,20,0,10,20,20,0,20,20,84,60,31,95,140,160,22,145,0,10,0
41,87,42,D,10,4.629999876019999,user,1,0,0,10,10,0,10,0,0,155,77,28,110,8,21,88,149,0,10,0
42,87,43,D,20,10.960000038099999,user,2,10,10,0,10,20,14,40,14,12,53,79,18,91,145,35,123,0,20,0
43,87,44,D,20,7.27999997139,user,2,10,30,21,14,20,20,30,10,41,155,110,10,24,135,100,29,0,20,0
44,87,45,C,21,3.75999999046,user,3,30,7,20,40,14,40,21,40,15,5,21,89,47,162,75,113,71,21,1
45,87,46,D,10,4.07999992371,user,1,0,10,20,10,7,20,0,0,6,154,124,121,75,43,125,76,0,10,0
46,87,47,D,10,1.57999992371,user,1,30,10,10,20,7,10,20,20,111,162,156,38,166,105,98,23,0,10,0
47,87,48,D,0,2.26999998093,user,0,20,10,0,0,0,10,10,0,76,161,99,160,19,110,134,82,0,0,0
48,87,49,D,0,3.6299998760200003,user,0,0,0,0,0,0,0,10,10,35,103,61,71,15,102,140,105,0,0,0
49,87,50,D,10,12.4200000763,user,1,10,0,0,10,0,10,10,10,3,77,101,157,71,107,79,46,0,10,0
50,87,51,D,30,4.92999982834,user,3,7,20,10,7,30,21,30,30,7,31,21,71,63,169,4,17,0,30,0
51,87,52,D,10,3.5599999427799998,user,1,0,20,20,10,10,0,0,10,10,31,42,22,43,146,37,152,0,10,0
52,87,53,D,30,8.79999995232,user,3,20,7,7,20,0,10,0,20,90,75,32,44,125,92,55,47,0,30,0
53,87,54,D,10,5.73000001907,user,1,0,0,0,20,30,0,10,10,166,77,108,96,106,53,110,130,0,10,0
54,87,55,D,40,5.76999998093,user,4,10,7,7,30,0,20,7,20,10,133,94,8,80,112,117,165,0,40,0
55,87,56,C,21,1.53999996185,user,3,20,40,21,14,20,30,20,7,4,42,141,55,104,66,29,27,71,21,1
56,87,57,D,10,3.3799998760200003,user,1,10,0,10,10,0,10,10,10,55,165,38,151,88,156,76,17,0,10,0
57,87,58,D,20,2.71000003815,user,2,10,10,20,21,40,7,20,30,120,162,69,158,113,150,119,1,0,20,0
58,87,59,D,20,6.6199998855599995,user,2,20,10,0,10,30,40,35,14,63,113,49,57,128,131,14,2,0,20,0
59,87,60,D,10,3.11999988556,user,1,30,0,20,20,10,10,0,20,129,68,28,88,166,154,108,79,0,10,0
60,91,1,D,20,8.73000001907,user,2,10,20,0,20,20,7,40,20,125,25,55,87,165,93,95,92,0,10,0
61,91,2,D,30,16.370000124,user,3,30,14,40,21,21,30,20,30,102,71,4,123,64,164,90,2,0,30,0
62,91,3,D,50,7.11000013351,user,5,21,14,20,30,50,28,42,42,65,96,29,134,93,80,111,24,0,50,0
63,91,4,D,10,7.969999790189999,user,1,0,0,10,0,10,20,7,10,115,44,86,76,6,62,151,152,0,10,0
64,91,5,D,20,7.3100001811999995,user,2,10,10,0,10,0,20,7,20,39,110,6,120,2,129,133,42,0,20,0
65,91,6,D,20,8.30999994278,user,2,30,7,20,30,7,20,20,30,78,80,56,8,10,46,19,115,0,20,0
66,91,7,D,20,9.96000003815,user,2,0,10,0,20,0,10,0,0,120,29,150,107,80,128,31,63,0,20,0
67,91,8,D,10,6.16000008583,user,1,20,20,10,10,20,0,10,20,128,27,48,122,78,16,24,109,0,10,0
68,91,9,D,10,9.13999986649,user,1,0,0,0,20,7,20,20,0,134,47,15,58,16,18,68,130,0,10,0
69,91,10,D,0,3.0599999427799998,user,0,10,10,30,10,0,0,10,10,61,22,1,86,100,54,63,76,0,0,0
70,91,11,D,20,2.47000002861,user,2,0,0,20,40,14,20,0,10,140,87,94,132,143,136,106,62,0,20,0
71,91,12,D,0,3.17000007629,user,0,10,0,0,0,20,20,20,10,2,78,66,26,82,121,33,7,0,0,0
72,91,13,D,40,6.3599998951000005,user,4,21,21,7,20,0,10,10,14,168,152,7,101,53,74,39,67,0,40,0
73,91,14,D,0,4.20000004768,user,0,0,10,10,0,10,20,20,0,77,85,38,105,127,108,162,118,0,0,0
74,91,15,D,30,2.49000000954,user,3,30,21,30,14,14,30,10,20,162,94,134,116,139,151,154,68,0,30,0
75,91,16,D,10,9.410000085830001,user,1,0,10,0,10,0,0,10,0,39,122,127,62,19,102,128,17,0,10,0
76,91,17,D,0,2.71000003815,user,0,20,20,30,0,10,10,10,10,131,102,47,108,109,156,21,140,0,0,0
77,91,18,D,10,4.44000005722,user,1,20,20,30,20,7,10,0,10,73,133,67,146,168,135,58,47,0,10,0
78,91,19,D,10,3.9300000667600004,user,1,10,0,10,20,0,10,10,10,121,66,128,161,3,156,22,48,0,10,0
80,91,21,C,7,8.60000014305,user,1,10,20,30,14,40,20,10,10,135,45,152,106,99,60,111,120,77,7,1
