,user_id,a,v,t,z,a_sd,v_sd,t_sd,z_sd
0,145,4.421475836231348,-0.7019703980280552,0.41811269683228813,0.48096890146322446,0.40852630647240595,0.10926827339488736,0.11963895321794883,0.05851646237790669
58,130,8.729532748088706,-0.5285898688475471,0.4901611317867364,0.602884144572596,0.7738764388798837,0.06702652639296744,0.2427588860692507,0.05346011449704062
113,86,5.042066260442043,-0.45427840574467615,0.7230005488336481,0.406454939264957,0.4851115365495776,0.09674460957002401,0.2391395344475164,0.062306670222432345
159,22,7.002121866412412,-0.8464888146525968,0.27258240104629783,0.6221452268809512,0.7138640717377802,0.10132128573445612,0.11177074121339535,0.05804523116515189
217,37,5.024618387929762,-0.19950466488229224,1.3258587451043278,0.6002181302011627,0.34098774451684244,0.07288562003887536,0.32631821560641516,0.045553505752606374
275,61,4.4047505624144785,-0.8818820202939245,0.5631098207688906,0.4434966061456159,0.5562556227653791,0.13103651489016022,0.14130794032545776,0.06584453233660552
333,98,3.4970055582565784,-0.08132780087030489,1.0568147125863552,0.4997471587476599,0.22599379505136705,0.09717924568954493,0.12961160619237552,0.047267818119366034
391,55,3.9585644055752702,-0.23399052724559885,0.9722743015246431,0.4520025022995202,0.2641798067420445,0.09015706594662128,0.16446133893023748,0.0505802123180758
447,33,2.956378321526651,-0.27046510046397226,1.0009369476696686,0.4434287498908383,0.20033470422132346,0.12324600556691531,0.06993957514975868,0.049471154129895875
505,92,5.642436737613886,-0.1632768830657934,1.753307725943231,0.5311353898462727,0.4709247527891038,0.0633110412315851,0.7260625421549189,0.05008753124257461
563,45,5.593001933281544,-0.40227357614745984,0.7382285866188731,0.5635568820332054,0.3987780987574435,0.07375602855706959,0.26079552035659004,0.05015697439109122
621,40,6.471667599352513,0.9515139025805327,0.8863245064621206,0.34218887120911495,0.7486259846115165,0.11821587369429494,0.36760572762764976,0.059729592488408915
679,161,5.228738528537418,-0.7725538253527063,0.44452142506636183,0.47328273009595356,0.6045882498338675,0.10481076267208427,0.1421824246790468,0.06257547586047991
737,52,4.1557166484178705,-0.07291285550895042,1.236725795040096,0.5401784890471067,0.28233890980113163,0.07769004148647429,0.26158840146760104,0.04312914211413433
795,66,6.870180901954695,-0.17322671479945714,0.86667100737673,0.5483334427066654,0.43576935239969267,0.05321557828185058,0.43886588142741967,0.04793733722306273
851,14,5.029563464216093,-0.5265492137245019,0.8747621616660972,0.4829662211576479,0.4325315916499802,0.0891086851389263,0.27849616351261114,0.05964928560748107
909,68,3.8060789134287343,-0.3361021120473955,1.6759784783970577,0.5211543984242845,0.28810729745298136,0.09589038773977629,0.2127679506755744,0.049460099815168905
967,56,3.8577449618863877,-0.4256738447539679,1.4281850631632964,0.5080210920549427,0.3035423782764467,0.09842816924910847,0.21371080134786555,0.052155356277952834
1025,59,3.8721890746061534,-0.029840091479929737,2.0964729915934806,0.42595901176783707,0.2648819437776579,0.08831819474929713,0.22422969113699842,0.04921548900120512
1083,165,2.9053953513603696,-0.51584396143667,1.0704027395596984,0.44796936052127595,0.22180672579430538,0.1327852248419932,0.08943100878494513,0.05469710785131099
1141,137,5.586210755294381,-0.9133461493851412,0.6095436974372082,0.551647747132068,0.686758437622238,0.11971670694651158,0.2243158551602166,0.06880299192918796
1199,9,2.652499615277809,-0.5127880978928492,0.697624951581589,0.48759965507763864,0.18538041006804645,0.13842543540798605,0.06624127524029948,0.04980552813125066
